month,state,handgun,rifle,total,state,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2020-09,Maine,4758,6249,11007,,,,,,,,,,,,,,
2020-09,Mariana Islands,14,11,25,,,,,,,,,,,,,,
2020-09,Maryland,9575,8547,18122,,,,,,,,,,,,,,
2020-09,Massachusetts,6889,3754,10643,,,,,,,,,,,,,,
2020-09,Michigan,32590,25496,58086,,,,,,,,,,,,,,
2020-09,Minnesota,16169,19127,35296,,,,,,,,,,,,,,
2020-09,Mississippi,10668,8825,19493,,,,,,,,,,,,,,
2020-09,Missouri,24614,17708,42322,,,,,,,,,,,,,,
2020-09,Montana,4903,6148,11051,,,,,,,,,,,,,,
2020-09,Nebraska,127,2362,2489,,,,,,,,,,,,,,
2020-09,Nevada,8773,3700,12473,,,,,,,,,,,,,,
2020-09,New Hampshire,6974,4420,11394,,,,,,,,,,,,,,
2020-09,New Jersey,12591,7274,19865,,,,,,,,,,,,,,
2020-09,New Mexico,7960,5067,13027,,,,,,,,,,,,,,
2020-09,New York,9928,25663,35591,,,,,,,,,,,,,,
2020-09,North Carolina,2274,19325,21599,,,,,,,,,,,,,,
2020-09,North Dakota,2339,3879,6218,,,,,,,,,,,,,,
2020-09,Ohio,32432,19759,52191,,,,,,,,,,,,,,
2020-09,Oklahoma,14820,11176,25996,,,,,,,,,,,,,,
2020-09,Oregon,20804,13091,33895,,,,,,,,,,,,,,
2020-09,Pennsylvania,68109,25277,93386,,,,,,,,,,,,,,
2020-09,Puerto Rico,2560,261,2821,,,,,,,,,,,,,,
2020-09,Rhode Island,2001,1165,3166,,,,,,,,,,,,,,
2020-09,South Carolina,14993,9264,24257,,,,,,,,,,,,,,
2020-09,South Dakota,3588,4621,8209,,,,,,,,,,,,,,
2020-09,Tennessee,31341,19732,51073,,,,,,,,,,,,,,
2020-09,Texas,68804,46463,115267,,,,,,,,,,,,,,
2020-09,Utah,6762,5896,12658,,,,,,,,,,,,,,
2020-09,Vermont,1973,2380,4353,,,,,,,,,,,,,,
2020-09,Virgin Islands,34,1,35,,,,,,,,,,,,,,
2020-09,Virginia,31327,19565,50892,,,,,,,,,,,,,,
2020-09,Washington,26363,15035,41398,,,,,,,,,,,,,,
2020-09,West Virginia,6635,7065,13700,,,,,,,,,,,,,,
2020-09,Wisconsin,25970,17806,43776,,,,,,,,,,,,,,
2020-09,Wyoming,2722,3247,5969,,,,,,,,,,,,,,
2020-08,Alabama,26449,16913,43362,,,,,,,,,,,,,,
2020-08,Alaska,4088,4113,8201,,,,,,,,,,,,,,
2020-08,Arizona,25375,12472,37847,,,,,,,,,,,,,,
2020-08,Arkansas,9821,7421,17242,,,,,,,,,,,,,,
2020-08,California,65196,38505,103701,,,,,,,,,,,,,,
2020-08,Colorado,25765,16476,42241,,,,,,,,,,,,,,
2020-08,Connecticut,5952,2014,7966,,,,,,,,,,,,,,
2020-08,Delaware,3402,1919,5321,,,,,,,,,,,,,,
2020-08,District of Columbia,550,5,555,,,,,,,,,,,,,,
2020-08,Florida,85345,30914,116259,,,,,,,,,,,,,,
2020-08,Georgia,26176,12198,38374,,,,,,,,,,,,,,
2020-08,Guam,151,39,190,,,,,,,,,,,,,,
2020-08,Hawaii,0,0,0,,,,,,,,,,,,,,
2020-08,Idaho,7860,6811,14671,,,,,,,,,,,,,,
2020-08,Illinois,28864,13330,42194,,,,,,,,,,,,,,
2020-08,Indiana,28843,16235,45078,,,,,,,,,,,,,,
2020-08,Iowa,242,3223,3465,,,,,,,,,,,,,,
2020-08,Kansas,8851,6423,15274,,,,,,,,,,,,,,
2020-08,Kentucky,18531,10985,29516,,,,,,,,,,,,,,
2020-08,Louisiana,16826,10171,26997,,,,,,,,,,,,,,
2020-08,Maine,4734,4555,9289,,,,,,,,,,,,,,
2020-08,Mariana Islands,9,6,15,,,,,,,,,,,,,,
2020-08,Maryland,8270,7807,16077,,,,,,,,,,,,,,
2020-08,Massachusetts,6756,3557,10313,,,,,,,,,,,,,,
2020-08,Michigan,35892,23104,58996,,,,,,,,,,,,,,
2020-08,Minnesota,17297,15193,32490,,,,,,,,,,,,,,
2020-08,Mississippi,15129,10518,25647,,,,,,,,,,,,,,
2020-08,Missouri,26351,17461,43812,,,,,,,,,,,,,,
2020-08,Montana,5066,5441,10507,,,,,,,,,,,,,,
2020-08,Nebraska,140,2280,2420,,,,,,,,,,,,,,
2020-08,Nevada,9541,3884,13425,,,,,,,,,,,,,,
2020-08,New Hampshire,6952,4034,10986,,,,,,,,,,,,,,
2020-08,New Jersey,10002,6258,16260,,,,,,,,,,,,,,
2020-08,New Mexico,8580,5360,13940,,,,,,,,,,,,,,
2020-08,New York,10163,22460,32623,,,,,,,,,,,,,,
2020-08,North Carolina,2534,18885,21419,,,,,,,,,,,,,,
2020-08,North Dakota,2503,3428,5931,,,,,,,,,,,,,,
2020-08,Ohio,37224,19937,57161,,,,,,,,,,,,,,
2020-08,Oklahoma,15728,10666,26394,,,,,,,,,,,,,,
2020-08,Oregon,21080,12694,33774,,,,,,,,,,,,,,
2020-08,Pennsylvania,69325,24361,93686,,,,,,,,,,,,,,
2020-08,Puerto Rico,2441,250,2691,,,,,,,,,,,,,,
2020-08,Rhode Island,1842,1081,2923,,,,,,,,,,,,,,
2020-08,South Carolina,17111,9137,26248,,,,,,,,,,,,,,
2020-08,South Dakota,3700,4105,7805,,,,,,,,,,,,,,
2020-08,Tennessee,35007,21069,56076,,,,,,,,,,,,,,
2020-08,Texas,77807,43770,121577,,,,,,,,,,,,,,
2020-08,Utah,6483,5303,11786,,,,,,,,,,,,,,
2020-08,Vermont,2128,1898,4026,,,,,,,,,,,,,,
2020-08,Virgin Islands,22,2,24,,,,,,,,,,,,,,
2020-08,Virginia,36314,20016,56330,,,,,,,,,,,,,,
2020-08,Washington,28536,14497,43033,,,,,,,,,,,,,,
2020-08,West Virginia,7487,6958,14445,,,,,,,,,,,,,,
2020-08,Wisconsin,28102,15908,44010,,,,,,,,,,,,,,
2020-08,Wyoming,3080,3188,6268,,,,,,,,,,,,,,
2020-07,Alabama,34909,17250,52159,,,,,,,,,,,,,,
2020-07,Alaska,4949,3779,8728,,,,,,,,,,,,,,
2020-07,Arizona,31040,12361,43401,,,,,,,,,,,,,,
2020-07,Arkansas,12391,7322,19713,,,,,,,,,,,,,,
2020-07,California,67672,38618,106290,,,,,,,,,,,,,,
2020-07,Colorado,29171,15184,44355,,,,,,,,,,,,,,
2020-07,Connecticut,6815,2062,8877,,,,,,,,,,,,,,
2020-07,Delaware,4034,1840,5874,,,,,,,,,,,,,,
2020-07,District of Columbia,296,11,307,,,,,,,,,,,,,,
2020-07,Florida,106745,33102,139847,,,,,,,,,,,,,,
2020-07,Georgia,38413,13344,51757,,,,,,,,,,,,,,
2020-07,Guam,227,85,312,,,,,,,,,,,,,,
2020-07,Hawaii,0,0,0,,,,,,,,,,,,,,
2020-07,Idaho,8813,6337,15150,,,,,,,,,,,,,,
2020-07,Illinois,31853,12250,44103,,,,,,,,,,,,,,
2020-07,Indiana,32970,15066,48036,,,,,,,,,,,,,,
2020-07,Iowa,248,2685,2933,,,,,,,,,,,,,,
2020-07,Kansas,10300,6071,16371,,,,,,,,,,,,,,
2020-07,Kentucky,20962,10578,31540,,,,,,,,,,,,,,
2020-07,Louisiana,24074,11374,35448,,,,,,,,,,,,,,
2020-07,Maine,5163,4049,9212,,,,,,,,,,,,,,
2020-07,Mariana Islands,13,6,19,,,,,,,,,,,,,,
2020-07,Maryland,7905,8023,15928,,,,,,,,,,,,,,
2020-07,Massachusetts,6238,3114,9352,,,,,,,,,,,,,,
2020-07,Michigan,44270,21710,65980,,,,,,,,,,,,,,
2020-07,Minnesota,17856,11371,29227,,,,,,,,,,,,,,
2020-07,Mississippi,19196,8971,28167,,,,,,,,,,,,,,
2020-07,Missouri,31991,17146,49137,,,,,,,,,,,,,,
2020-07,Montana,5472,4926,10398,,,,,,,,,,,,,,
2020-07,Nebraska,135,1929,2064,,,,,,,,,,,,,,
2020-07,Nevada,11920,3949,15869,,,,,,,,,,,,,,
2020-07,New Hampshire,7918,3788,11706,,,,,,,,,,,,,,
2020-07,New Jersey,7656,6172,13828,,,,,,,,,,,,,,
2020-07,New Mexico,10102,5084,15186,,,,,,,,,,,,,,
2020-07,New York,11400,23105,34505,,,,,,,,,,,,,,
2020-07,North Carolina,2865,20322,23187,,,,,,,,,,,,,,
2020-07,North Dakota,2702,2942,5644,,,,,,,,,,,,,,
2020-07,Ohio,43645,18865,62510,,,,,,,,,,,,,,
2020-07,Oklahoma,19294,10955,30249,,,,,,,,,,,,,,
2020-07,Oregon,22479,11897,34376,,,,,,,,,,,,,,
2020-07,Pennsylvania,77854,22276,100130,,,,,,,,,,,,,,
2020-07,Puerto Rico,2283,256,2539,,,,,,,,,,,,,,
2020-07,Rhode Island,2079,1142,3221,,,,,,,,,,,,,,
2020-07,South Carolina,23255,8726,31981,,,,,,,,,,,,,,
2020-07,South Dakota,3609,3222,6831,,,,,,,,,,,,,,
2020-07,Tennessee,42011,20831,62842,,,,,,,,,,,,,,
2020-07,Texas,96689,41060,137749,,,,,,,,,,,,,,
2020-07,Utah,8314,5447,13761,,,,,,,,,,,,,,
2020-07,Vermont,2373,1739,4112,,,,,,,,,,,,,,
2020-07,Virgin Islands,48,4,52,,,,,,,,,,,,,,
2020-07,Virginia,44801,19538,64339,,,,,,,,,,,,,,
2020-07,Washington,33892,14006,47898,,,,,,,,,,,,,,
2020-07,West Virginia,9331,6358,15689,,,,,,,,,,,,,,
2020-07,Wisconsin,26890,12518,39408,,,,,,,,,,,,,,
2020-07,Wyoming,3237,2950,6187,,,,,,,,,,,,,,
2020-06,Alabama,47159,20120,67279,,,,,,,,,,,,,,
2020-06,Alaska,4785,3091,7876,,,,,,,,,,,,,,
2020-06,Arizona,43291,14267,57558,,,,,,,,,,,,,,
2020-06,Arkansas,15520,7820,23340,,,,,,,,,,,,,,
2020-06,California,76210,40933,117143,,,,,,,,,,,,,,
2020-06,Colorado,35381,16998,52379,,,,,,,,,,,,,,
2020-06,Connecticut,6943,2196,9139,,,,,,,,,,,,,,
2020-06,Delaware,5303,2116,7419,,,,,,,,,,,,,,
2020-06,District of Columbia,217,0,217,,,,,,,,,,,,,,
2020-06,Florida,133285,39111,172396,,,,,,,,,,,,,,
2020-06,Georgia,46989,14779,61768,,,,,,,,,,,,,,
2020-06,Guam,243,100,343,,,,,,,,,,,,,,
2020-06,Hawaii,0,0,0,,,,,,,,,,,,,,
2020-06,Idaho,10802,7430,18232,,,,,,,,,,,,,,
2020-06,Illinois,49101,14913,64014,,,,,,,,,,,,,,
2020-06,Indiana,40492,16560,57052,,,,,,,,,,,,,,
2020-06,Iowa,319,4009,4328,,,,,,,,,,,,,,
2020-06,Kansas,12829,6276,19105,,,,,,,,,,,,,,
2020-06,Kentucky,27051,11707,38758,,,,,,,,,,,,,,
2020-06,Louisiana,28289,11116,39405,,,,,,,,,,,,,,
2020-06,Maine,6583,4059,10642,,,,,,,,,,,,,,
2020-06,Mariana Islands,10,6,16,,,,,,,,,,,,,,
2020-06,Maryland,8818,9524,18342,,,,,,,,,,,,,,
2020-06,Massachusetts,7923,3881,11804,,,,,,,,,,,,,,
